mean_overspeed_perc,mean_dist_day
28,71.24
25,52.53
27,64.54
22,55.69
25,54.58
10,41.91
20,58.64
8,52.02
34,31.25
19,44.31
40,49.35
45,58.07
22,44.22
19,55.73
43,46.63
32,52.97
35,46.25
27,51.55
26,57.05
30,58.45
23,43.42
37,55.68
18,55.15
22,43.84
32,59.26
41,37.14
29,64.3
16,45.75
23,45.97
39,56.04
45,33.64
33,41.67
39,50.68
35,54.22
29,56.2
41,46.16
24,50.22
33,49.66
37,38.61
36,55.28
41,57.87
12,61.69
21,37.41
32,53.83
22,62.98
13,46.97
24,58.03
36,59.87
31,81.34
26,48.56
23,17.66
21,46.01
26,45.34
31,39.64
36,51.22
31,36.21
55,47.32
27,54.87
6,58.97
42,57.3
32,59.94
25,61.72
23,53.19
38,35.13
20,48.47
43,51.17
39,42.14
35,54.31
32,48.93
44,53.51
24,51.72
10,49.86
41,49.2
39,60.2
20,54.06
30,72.91
40,61.92
24,44.2
39,60.75
37,68.36
20,56.39
15,38.19
27,66.19
17,58.2
22,47.55
16,37.62
26,17.81
29,31.25
41,61
33,40.98
24,53.69
9,51.46
29,64.57
23,53.79
34,64.28
24,38.41
42,58.89
33,44.17
43,50.41
